"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","260.8328459852072","117.4686699610558","4.822506332574609","-0.30896613792557315","0.026000000000000023","0.0222","0.02980000000000005","1400","0.0005376002835244855","0.0005376002835244855","0.0005376002835244855","","","true"
"1","240.8961539966466","57.81915233369511","4.772689408887981","-0.3102210761952548","0.008299999999999974","0.010600000000000054","0.006","1400","0.00019803493174683313","0.00019803493174683313","0.00019803493174683313","1_0:0.011666382488624172","1_0:660","true"
"2","237.7255663699779","311.1658971395256","4.718308437707478","-0.3104037776462388","0.030399999999999983","0.0286","0.032200000000000006","1400","0.00034634151583432226","0.00034634151583432226","0.00034634151583432226","2_3:0.00913673007935173;2_1:0.00789187422989765","2_3:660;2_1:660","true"
"3","371.4384787852961","393.96847594920666","4.800145325189669","-0.30888128433002476","0.029299999999999993","0.0254","0.03320000000000001","1400","0.00029877478964986386","0.00029877478964986386","0.00029877478964986386","3_4:0.028543349373145482","3_4:660","true"
"4","47.530937482662864","296.8149832789214","4.832873763806662","-0.308629272986329","0.026799999999999935","0.0314","0.022199999999999998","1400","0.00033072319503067585","0.00033072319503067585","0.00033072319503067585","","","true"
"5","186.7300607669477","172.15274247445495","4.660680752040545","-0.31065594686359554","0.013900000000000023","0.01639999999999997","0.0114","1400","0.00016042970623299197","0.00016042970623299197","0.00016042970623299197","5_4:0.011685438252640762","5_4:660","true"
"6","289.52167665516953","260.90087655477777","4.906966883610144","-0.3068148235588046","0.009300000000000086","0.009000000000000008","0.0096","1400","0.00011962188729627248","0.00011962188729627248","0.00011962188729627248","6_7:0.007484462998126967;6_5:0.005086519147503993","6_7:660;6_5:660","true"
"7","174.81565843464946","90.0737149582371","4.719565721181192","-0.31037202891110505","0.007800000000000029","0.0034","0.012199999999999989","1400","0.00026555798407891295","0.00026555798407891295","0.00026555798407891295","7_8:0.03654534018971417","7_8:660","true"
"8","298.2712600239419","16.857502720048075","4.635811241001349","-0.28702409316453614","0.12159999999999993","0.07079999999999997","0.1724","1400","0.001020438111871247","0.001020438111871247","0.001020438111871247","8_16:1","8_16:660","true"
"9","66.29081150667047","58.192226239443315","4.7167486817292446","-0.3104073125859284","0.10949999999999993","0.0546","0.1644","1400","0.0003289332238930194","0.0003289332238930194","0.0003289332238930194","9_8:0.021560207100978057;9_10:0.007847886416462557","9_8:660;9_10:660","true"
"10","283.7085629489048","327.3178995457941","4.669415814572115","0","0.0716","0.0756","0.0676","1400","0.00016868420812315928","0.00016868420812315928","0.00016868420812315928","","","true"
"11","290.5156006847261","350.22898762587135","4.725300605604258","-0.3101830225622285","0.07089999999999996","0.0682","0.0736","1400","0.00035043742523997577","0.00035043742523997577","0.00035043742523997577","11_10:0.008363904129929933","11_10:660","true"
"12","389.156861936029","129.52780286132187","4.682914583905472","-0.31013218093198514","0.03949999999999998","0.0362","0.04279999999999995","1400","0.00020561772059028078","0.00020561772059028078","0.00020561772059028078","12_11:0.011658847507432318","12_11:660","true"
"13","298.6646404041156","97.7210426117763","4.729969574380204","0","0.012799999999999923","0.0094","0.016199999999999992","1400","0.00043561913197723664","0.00043561913197723664","0.00043561913197723664","13_12:0.00514997835109926","13_12:660","true"
"14","178.68397545226702","24.79993230628299","4.740320753925036","-0.31041215354308554","0.1049","0.119","0.0908","1400","0.00028810923020168014","0.00028810923020168014","0.00028810923020168014","14_0:0.015040739210502113;14_18:0.008624598403563694","14_0:660;14_18:660","true"
"15","411.04514601644627","284.06883666544593","4.669108172004391","-0.31131069353860613","0.013600000000000056","0.012399999999999967","0.0148","1400","0.00020336852325378234","0.00020336852325378234","0.00020336852325378234","15_4:0.009440608074321427","15_4:660","true"
"16","7.717159571191255","332.4258176295806","4.686079832907678","0","0.4387","0.4468","0.4306","1400","0.046165690727967064","0.046165690727967064","0.046165690727967064","16_26:1","16_26:660","true"
"17","306.50913964429486","250.61777299329472","4.8804726729029495","-0.30671781899604517","0.032399999999999984","0.03359999999999996","0.0312","1400","0.00013412280791509602","0.00013412280791509602","0.00013412280791509602","17_12:0.005088224107137218;17_30:0.004072914355832624","17_12:660;17_30:660","true"
"18","179.15919383115585","63.90710617255377","4.6526679805288556","-0.3108671975016885","0.14833333333333332","0.08","0.21666666666666667","1400","0.00020486534166566216","0.00020486534166566216","0.00020486534166566216","18_19:0.013135713945690047","18_19:660","true"
"19","365.82104625076204","142.86584599546367","4.878870459530537","-0.30848203027556864","0.07833333333333337","0.07999999999999996","0.07666666666666666","1400","0.0002916407368308682","0.0002916407368308682","0.0002916407368308682","","","true"
"20","187.91587504908705","168.63563006319367","4.650826868814151","-0.31198978446892245","0.01980000000000004","0.0226","0.017000000000000015","1400","0.000288487637464844","0.000288487637464844","0.000288487637464844","20_19:0.015609360854915544","20_19:748","true"
"21","426.94589749614465","136.80425112503517","4.568033834421864","0","0.015100000000000002","0.022399999999999975","0.0078","1400","0.00028281844555062195","0.00028281844555062195","0.00028281844555062195","21_20:0.005778284244937232;21_22:0.004710484684836952","21_20:660;21_22:660","true"
"22","395.8951575555644","356.73146626331066","4.768022294326383","-0.31007976218914873","0.07410000000000005","0.06979999999999997","0.0784","1400","0.00008773599262950846","0.00008773599262950846","0.00008773599262950846","22_15:0.006228762765025736","22_15:660","true"
"23","453.5046701855804","121.37184769567924","4.826037496897096","-0.30896459047936825","0.0042999999999999705","0.0050000000000000044","0.0036","1400","0.0001808756987205878","0.0001808756987205878","0.0001808756987205878","23_22:0.005798146423131534","23_22:660","true"
"24","300.4560445758497","169.592436635277","5.0197623932005255","-0.30541425054676014","0.008499999999999952","0.010000000000000009","0.007","1400","0.0016241051385476018","0.0016241051385476018","0.0016241051385476018","24_34:0.011393378990997155;24_23:0.02355117842655119;24_25:0.016357834173245905","24_34:660;24_23:660;24_25:660","true"
"25","217.05473043131062","275.3661740391778","4.841823135069609","-0.3086237066221388","0.0022999999999999687","0.003","0.0016000000000000458","1400","0.0002194330089288974","0.0002194330089288974","0.0002194330089288974","25_26:0.004347254073639978","25_26:660","true"
"26","246.608075179389","15.720383004865528","4.763740987438528","-0.30945351875840205","0.008099999999999996","0.0102","0.006000000000000005","1400","0.0004016884564271918","0.0004016884564271918","0.0004016884564271918","","","true"
"27","399.71821012387005","169.18871307231166","4.8865470241722955","0","0.011499999999999955","0.010399999999999965","0.0126","1400","0.00013687754905254216","0.00013687754905254216","0.00013687754905254216","27_28:0.003480996579382639;27_26:0.0046157772452051216","27_28:660;27_26:660","true"
"28","255.5696563483105","35.07517765301783","4.701219368312375","-0.3099488275329216","0.0036000000000000476","0.0023999999999999577","0.0048","1400","0.00036769769944027","0.00036769769944027","0.00036769769944027","28_35:0.012148376738925049;28_29:0.004195768012652312","28_35:660;28_29:660","true"
"29","298.0617146447115","297.586397189334","4.7442737613987696","-0.31029420415842046","0.0043999999999999595","0.0040000000000000036","0.0048","1400","0.0001999219266323309","0.0001999219266323309","0.0001999219266323309","","","true"
"30","204.97242619295008","85.60194918671205","4.922258367210891","-0.30754311932801587","0.057600000000000096","0.06320000000000003","0.052","1400","0.00020663279479431708","0.00020663279479431708","0.00020663279479431708","30_29:0.005988375504754201","30_29:660","true"
"31","248.7165049838108","209.8013940479064","4.8397794869245505","-0.3084406817400851","0.006099999999999994","0.0050000000000000044","0.0072","1400","0.00014624749115789963","0.00014624749115789963","0.00014624749115789963","31_30:0.005093702405932321;31_32:0.006165392920725266","31_30:660;31_32:660","true"
"32","383.18900484766925","168.0851601170254","4.6650667293987125","-0.30998842157162854","0.011500000000000066","0.0168","0.006199999999999983","1400","0.0002290268203849059","0.0002290268203849059","0.0002290268203849059","","","true"
"33","22.067228913921035","12.153573667054227","4.823315349300573","-0.30430713299383766","0.0492999999999999","0.075","0.023599999999999954","1400","0.0018623650620719797","0.0018623650620719797","0.0018623650620719797","33_20:0.020815627255859004","33_20:660","true"
